doro,one,two,three,delta
서울특별시 강남구 자곡로 175,4935,4896,5596,661 
서울특별시 강남구 자곡로 21,4032,4085,5783,1751 
서울특별시 강남구 자곡로 260,3791,3950,5612,1821 
서울특별시 강남구 테헤란로 423,2464,2585,3993,1529 
서울특별시 강남구 테헤란로 428,3309,2504,3866,557 
서울특별시 강남구 테헤란로10길 10,2890,3831,4030,1140 
서울특별시 강남구 테헤란로10길 25,2574,0,4033,1459 
서울특별시 강남구 테헤란로13길 31-7,3038,0,3920,882 
서울특별시 강남구 테헤란로13길 35-6,2531,2653,3659,1128 
서울특별시 강남구 테헤란로14길 13,4111,4220,4376,265 
서울특별시 강남구 테헤란로25길 58,2390,2839,2937,547 
서울특별시 강남구 테헤란로28길 47,1889,0,2712,823 
서울특별시 강남구 테헤란로48길 10,3726,4090,4667,941 
서울특별시 강남구 테헤란로4길 32,2758,3366,3700,942 
서울특별시 강남구 테헤란로4길 46,3571,3809,4418,847 
서울특별시 강남구 테헤란로52길 16,6158,5068,8266,2108 
서울특별시 강남구 테헤란로5길 36,2822,3323,3479,657 
서울특별시 강남구 테헤란로63길 12,3170,3541,3376,206 
서울특별시 강남구 테헤란로64길 9,2893,3083,3181,288 
서울특별시 강남구 테헤란로77길 22,3039,3008,4236,1197 
서울특별시 강남구 테헤란로79길 31,2801,3401,3052,251 
서울특별시 강남구 학동로 165,3728,3728,3490,-238 
서울특별시 강남구 학동로 338,2892,4223,4118,1226 
서울특별시 강남구 학동로 405,6326,4656,5460,-866 
서울특별시 강남구 학동로 409,5290,5791,5151,-139 
서울특별시 강남구 학동로 412,6168,6333,7696,1528 
서울특별시 강남구 학동로 420,5000,6111,6316,1316 
서울특별시 강남구 학동로 432,6667,5951,6862,195 
서울특별시 강남구 학동로 513,4756,5635,6340,1584 
서울특별시 강남구 학동로 609,6044,5365,8986,2942 
서울특별시 강남구 학동로105길 30,5517,6993,7382,1865 
서울특별시 강남구 학동로11길 13,3122,0,2905,-217 
서울특별시 강남구 학동로21길 23,3285,0,3109,-176 
서울특별시 강남구 학동로30길 21,2416,2016,3268,852 
서울특별시 강남구 학동로38길 22,3921,3999,4504,583 
서울특별시 강남구 학동로42길 60,1821,2164,3640,1819 
서울특별시 강남구 학동로43길 38,2837,2993,4480,1643 
서울특별시 강남구 학동로46길 32,6090,0,6118,28 
서울특별시 강남구 학동로46길 38,4623,4586,5824,1201 
서울특별시 강남구 학동로63길 13,4280,4591,4591,311 
서울특별시 강남구 학동로63길 14,4364,4529,4584,220 
서울특별시 강남구 학동로64길 14,5128,5086,7998,2870 
서울특별시 강남구 학동로64길 7,5244,5803,7325,2081 
서울특별시 강남구 학동로68길 29,7745,7953,9206,1461 
서울특별시 강남구 학동로68길 30,5028,6492,5544,516 
서울특별시 강남구 학동로73길 13,4793,5531,5356,563 
서울특별시 강남구 학동로77길 27,4821,5847,5666,845 
서울특별시 강남구 학동로77길 49,4976,5431,5196,220 
서울특별시 강남구 학동로7길 6,2625,2842,3898,1273 
서울특별시 강남구 학동로88길 5,3811,4764,4923,1112 
서울특별시 강남구 학동로97길 31,5221,5682,5715,494 
서울특별시 강남구 학동로97길 51,5321,7571,8425,3104 
서울특별시 강남구 헌릉로571길 20,3877,4636,4702,825 
서울특별시 강남구 헌릉로590길 10,3417,3419,4532,1115 
서울특별시 강남구 헌릉로590길 100,3858,4842,5434,1576 
서울특별시 강남구 헌릉로590길 11,3224,4040,4078,854 
서울특별시 강남구 헌릉로590길 63,2861,3402,3597,736 
서울특별시 강동구 강동대로 143,1802,1827,2184,382 
서울특별시 강동구 강동대로 143-16,1821,0,1767,-54 
서울특별시 강동구 강동대로 143-40,1691,1691,2375,684 
서울특별시 강동구 강동대로 155,1799,0,1786,-13 
서울특별시 강동구 강동대로 177,2111,1966,2090,-21 
서울특별시 강동구 강동대로 217,2276,0,2368,92 
서울특별시 강동구 강동대로51길 12,3056,0,3197,141 
서울특별시 강동구 강동대로51길 75,1854,0,2211,357 
